"copies","kind","duration","popularity"
50,"accd",1344,161
50,"accd",784,319
50,"accd",NULL,319
50,"accd",857,319
50,"accd",927,319
50,"accd",576,319
50,"accd",119,319
50,"accd",572,29
50,"accd",46,29
50,"accd",239,883
50,"accd",74,883
50,"accd",NULL,883
50,"accd",142,883
50,"accd",644,883
50,"accd",910,196
50,"accd",NULL,196
50,"accd",407,196
50,"accd",74,196
50,"accd",361,196
50,"accd",1153,972
50,"accd",433,972
50,"accd",NULL,972
50,"accd",233,972
50,"accd",552,972
50,"accd",2351,972
50,"accd",857,497
50,"accd",NULL,497
50,"accd",557,497
50,"accd",161,858
50,"accd",NULL,858
50,"accd",46,858
50,"accd",736,599
50,"accd",NULL,599
50,"accd",481,599
50,"accd",1149,630
50,"accd",263,630
50,"accd",NULL,630
50,"accd",907,630
50,"accd",528,630
50,"accd",736,1770
50,"accd",NULL,1770
50,"accd",532,1770
50,"accd",5,1770
50,"accd",785,284
50,"accd",NULL,284
50,"accd",793,284
50,"accd",94,284
50,"accd",430,760
50,"accd",NULL,760
50,"accd",665,262
50,"accd",NULL,262
50,"accd",166,262
50,"accd",330,50
50,"accd",NULL,50
50,"accd",0,50
50,"accd",145,50
50,"accd",743,50
50,"accd",357,50
50,"accd",978,141
50,"accd",1821,85
50,"accd",1316,85
50,"accd",NULL,85
50,"accd",1814,85
50,"accd",282,178
50,"accd",NULL,178
50,"accd",241,178
50,"accd",165,178
50,"accd",1313,171
50,"accd",NULL,171
50,"accd",645,171
50,"accd",0,171
50,"accd",858,90
50,"accd",736,90
50,"accd",285,90
50,"accd",1418,90
50,"accd",474,482
50,"accd",NULL,482
50,"accd",1123,204
50,"accd",502,204
50,"accd",2160,204
50,"accd",503,204
50,"accd",232,280
50,"accd",NULL,280
50,"accd",768,280
50,"accd",693,280
50,"accd",288,280
50,"accd",401,267
50,"accd",1032,267
50,"accd",167,267
50,"accd",594,267
50,"accd",24,267
50,"accd",519,267
50,"accd",641,68
50,"accd",NULL,68
50,"accd",1098,278
50,"accd",NULL,278
50,"accd",1892,278
50,"accd",818,335
50,"accd",NULL,335
50,"accd",768,335
50,"accd",0,335
50,"accd",788,335
50,"accd",502,335
50,"accd",73,335
50,"accd",1193,124
50,"accd",NULL,124
50,"accd",389,124
50,"accd",785,101
50,"accd",1053,101
50,"accd",383,101
50,"accd",NULL,101
50,"accd",745,101
50,"accd",239,101
50,"accd",401,345
50,"accd",NULL,345
50,"accd",166,345
50,"accd",1585,82
50,"accd",NULL,82
50,"accd",215,82
50,"accd",499,591
50,"accd",162,591
50,"accd",697,591
50,"accd",NULL,591
50,"accd",409,591
50,"accd",215,591
50,"accd",1626,24
50,"accd",530,24
50,"accd",761,1404
50,"accd",NULL,1404
50,"accd",236,1404
50,"accd",475,1404
50,"accd",68,1404
50,"accd",1585,361
50,"accd",24,361
50,"accd",NULL,361
50,"accd",790,361
50,"accd",631,361
50,"accd",1128,361
50,"accd",884,240
50,"accd",24,240
50,"accd",311,240
50,"accd",NULL,240
50,"accd",310,240
50,"accd",22,240
50,"accd",1101,240
50,"accd",8234,240
50,"accd",0,240
50,"accd",281,649
50,"accd",NULL,649
50,"accd",762,649
50,"accd",291,649
50,"accd",232,649
50,"accd",545,649
50,"accd",1320,207
50,"accd",70,207
50,"accd",NULL,207
50,"accd",548,207
50,"accd",339,207
50,"accd",738,89
50,"accd",NULL,89
50,"accd",623,89
50,"accd",524,528
50,"accd",NULL,528
50,"accd",123,528
50,"accd",953,108
50,"accd",190,108
50,"accd",NULL,108
50,"accd",1396,108
50,"accd",1009,108
50,"accd",905,108
50,"accd",932,108
50,"accd",233,116
50,"accd",NULL,116
50,"accd",166,116
50,"accd",191,116
50,"accd",449,836
50,"accd",NULL,836
50,"accd",234,836
50,"accd",167,836
50,"accd",788,836
50,"accd",670,836
50,"accd",92,836
50,"accd",452,836
50,"accd",95,836
50,"accd",67,836
50,"accd",237,168
50,"accd",746,168
50,"accd",233,93
50,"accd",NULL,93
50,"accd",1969,93
50,"accd",1585,17
50,"accd",506,17
50,"accd",NULL,17
50,"accd",339,17
50,"accd",525,17
50,"accd",647,17
50,"accd",4724,21
50,"accd",NULL,21
50,"accd",0,21
50,"accd",429,1638
50,"accd",NULL,1638
50,"accd",160,1638
50,"accd",428,1638
50,"accd",170,1638
50,"accd",500,483
50,"accd",NULL,483
50,"accd",549,35
50,"accd",290,35
50,"accd",NULL,35
50,"accd",120,35
50,"accd",168,527
50,"accd",624,527
50,"accd",NULL,527
50,"accd",644,527
50,"accd",241,527
50,"accd",335,527
50,"accd",94,167
50,"accd",NULL,167
50,"accd",92,167
50,"accd",545,167
50,"accd",439,167
50,"accd",573,445
50,"accd",NULL,445
50,"accd",0,445
50,"accd",212,445
50,"accd",333,445
50,"accd",678,445
50,"accd",169,445
50,"accd",260,135
50,"accd",961,135
50,"accd",260,531
50,"accd",NULL,531
50,"accd",717,705
50,"accd",552,705
50,"accd",NULL,705
50,"accd",128,705
50,"accd",695,705
50,"accd",216,705
50,"accd",885,705
50,"accd",68,88
50,"accd",NULL,88
50,"accd",95,240
50,"accd",1008,240
50,"accd",887,240
50,"accd",598,240
50,"accd",1081,240
50,"accd",68,502
50,"accd",NULL,502
50,"accd",0,502
50,"accd",216,502
50,"accd",268,502
50,"accd",289,502
50,"accd",1103,502
50,"accd",68,1073
50,"accd",NULL,1073
50,"accd",355,1073
50,"accd",170,1073
50,"accd",197,99
50,"accd",478,99
50,"accd",NULL,99
50,"accd",746,99
50,"accd",259,99
50,"accd",713,99
50,"accd",18,99
50,"accd",0,99
50,"accd",432,2798
50,"accd",NULL,2798
50,"accd",529,2798
50,"accd",1868,2798
50,"accd",787,2798
50,"accd",651,107
50,"accd",NULL,107
50,"accd",500,107
50,"accd",0,107
50,"accd",424,118
50,"accd",307,118
50,"accd",NULL,118
50,"accd",380,114
50,"accd",NULL,114
50,"accd",245,114
50,"accd",338,114
50,"accd",908,114
50,"accd",93,114
50,"accd",383,1529
50,"accd",NULL,1529
50,"accd",535,1529
50,"accd",456,1529
50,"accd",692,357
50,"accd",571,357
50,"accd",503,357
50,"accd",0,357
50,"accd",622,260
50,"accd",NULL,260
50,"accd",527,260
50,"accd",0,260
50,"accd",74,260
50,"accd",46,260
50,"accd",479,799
50,"accd",NULL,799
50,"accd",502,799
50,"accd",1634,799
50,"accd",692,889
50,"accd",NULL,889
50,"accd",286,889
50,"accd",167,889
50,"accd",761,1002
50,"accd",NULL,1002
50,"accd",260,1002
50,"accd",0,1002
50,"accd",521,107
50,"accd",790,26
50,"accd",NULL,26
50,"accd",140,26
50,"accd",94,26
50,"accd",858,26
50,"accd",238,26
50,"accd",0,26
50,"accd",1005,912
50,"accd",597,912
50,"accd",NULL,912
50,"accd",46,912
50,"accd",527,912
50,"accd",360,912
50,"accd",148,912
50,"accd",644,689
50,"accd",NULL,689
50,"accd",24,689
50,"accd",285,689
50,"accd",221,689
50,"accd",187,689
50,"accd",615,206
50,"accd",NULL,206
50,"accd",455,206
50,"accd",772,206
50,"accd",500,346
50,"accd",NULL,346
50,"accd",1029,346
50,"accd",93,346
50,"accd",1147,2422
50,"accd",NULL,2422
50,"accd",665,240
50,"accd",569,424
50,"accd",NULL,424
50,"accd",313,424
50,"accd",88,424
50,"accd",408,424
50,"accd",68,599
50,"accd",195,599
50,"accd",216,599
50,"accd",171,599
50,"accd",574,1546
50,"accd",NULL,1546
50,"accd",884,149
50,"accd",NULL,149
50,"accd",52,149
50,"accd",638,1723
50,"accd",505,1723
50,"accd",NULL,1723
50,"accd",714,127
50,"accd",860,127
50,"accd",NULL,127
50,"accd",1153,127
50,"accd",450,242
50,"accd",NULL,242
50,"accd",269,242
50,"accd",501,242
50,"accd",792,242
50,"accd",886,19
50,"accd",NULL,19
50,"accd",0,19
50,"accd",409,19
50,"accd",452,647
50,"accd",NULL,647
50,"accd",71,647
50,"accd",48,647
50,"accd",436,647
50,"accd",1387,647
50,"accd",1166,1239
50,"accd",232,1239
50,"accd",722,1239
50,"accd",NULL,1239
50,"accd",596,1239
50,"accd",450,1239
50,"accd",66,1239
50,"accd",1362,70
50,"accd",NULL,70
50,"accd",932,41
50,"accd",NULL,41
50,"accd",412,41
50,"accd",451,41
50,"accd",480,1760
50,"accd",NULL,1760
50,"accd",0,1760
50,"accd",89,1760
50,"accd",1456,636
50,"accd",165,636
50,"accd",NULL,636
50,"accd",528,636
50,"accd",1919,75
50,"accd",NULL,75
50,"accd",1964,75
50,"accd",1318,114
50,"accd",523,697
50,"accd",939,697
50,"accd",NULL,697
50,"accd",570,697
50,"accd",335,697
50,"accd",642,157
50,"accd",NULL,157
50,"accd",166,157
50,"accd",435,157
50,"accd",976,18
50,"accd",NULL,18
50,"accd",811,18
50,"accd",807,1115
50,"accd",NULL,1115
50,"accd",962,1115
50,"accd",111,186
50,"accd",NULL,186
50,"accd",1362,186
50,"accd",933,186
50,"accd",47,186
50,"accd",1011,1170
50,"accd",454,1170
50,"accd",1990,130
50,"accd",NULL,130
50,"accd",545,483
50,"accd",690,860
50,"accd",505,860
50,"accd",NULL,860
50,"accd",1289,651
50,"accd",NULL,651
50,"accd",640,651
50,"accd",1150,651
50,"accd",402,62
50,"accd",NULL,62
50,"accd",719,62
50,"accd",402,73
50,"accd",NULL,73
50,"accd",354,625
50,"accd",NULL,625
50,"accd",380,625
50,"accd",312,625
50,"accd",644,625
50,"accd",475,328
50,"accd",NULL,328
50,"accd",938,481
50,"accd",NULL,481
50,"accd",928,481
50,"accd",1542,481
50,"accd",645,1111
50,"accd",426,1111
50,"accd",NULL,1111
50,"accd",214,1111
50,"accd",237,1045
50,"accd",NULL,1045
50,"accd",119,1045
50,"accd",310,1045
50,"accd",1127,78
50,"accd",NULL,78
50,"accd",433,6
50,"accd",NULL,6
50,"accd",783,1844
50,"accd",NULL,1844
50,"accd",670,884
50,"accd",190,884
50,"accd",738,884
50,"accd",NULL,884
50,"accd",93,884
50,"accd",478,884
50,"accd",357,884
50,"accd",332,884
50,"accd",619,902
50,"accd",505,902
50,"accd",NULL,902
50,"accd",0,902
50,"accd",1268,6
50,"accd",1559,542
50,"accd",NULL,542
50,"accd",595,542
50,"accd",1128,542
50,"accd",936,542
50,"accd",817,396
50,"accd",NULL,396
50,"accd",598,396
50,"accd",73,396
50,"accd",75,396
50,"accd",1245,280
50,"accd",291,280
50,"accd",354,280
50,"accd",456,3
50,"accd",264,3
50,"accd",NULL,3
50,"accd",406,578
50,"accd",387,578
50,"accd",NULL,578
50,"accd",405,578
50,"accd",928,578
50,"accd",0,578
50,"accd",433,183
50,"accd",NULL,183
50,"accd",165,183
50,"accd",937,183
50,"accd",190,183
50,"accd",309,183
50,"accd",0,183
50,"accd",2800,115
50,"accd",NULL,115
50,"accd",328,379
50,"accd",307,379
50,"accd",618,379
50,"accd",1419,100
50,"accd",569,100
50,"accd",NULL,100
50,"accd",1123,100
50,"accd",455,100
50,"accd",592,705
50,"accd",262,705
50,"accd",481,705
50,"accd",763,705
50,"accd",213,705
50,"accd",97,705
50,"accd",482,705
50,"accd",334,705
50,"accd",112,705
50,"accd",621,705
50,"accd",140,689
50,"accd",907,113
50,"accd",NULL,113
50,"accd",288,113
50,"accd",95,113
50,"accd",816,113
50,"accd",0,113
50,"accd",472,41
50,"accd",127,41
50,"accd",618,41
50,"accd",748,41
50,"accd",261,41
50,"accd",121,41
50,"accd",405,292
50,"accd",NULL,292
50,"accd",712,292
50,"accd",449,134
50,"accd",NULL,134
50,"accd",883,134
50,"accd",362,134
50,"accd",1192,134
50,"accd",1191,669
50,"accd",NULL,669
50,"accd",455,669
50,"accd",334,669
50,"accd",1001,301
50,"accd",NULL,301
50,"accd",1463,73
50,"accd",285,2189
50,"accd",NULL,2189
50,"accd",669,2189
50,"accd",599,2189
50,"accd",196,2189
50,"accd",570,170
50,"accd",NULL,170
50,"accd",1361,170
50,"accd",169,170
50,"accd",481,170
50,"accd",641,432
50,"accd",NULL,432
50,"accd",382,432
50,"accd",0,432
50,"accd",503,432
50,"accd",523,432
