"copies","kind","duration","popularity"
50,"jccd",NULL,796
50,"jccd",217,796
50,"jccd",744,469
50,"jccd",NULL,469
50,"jccd",623,469
50,"jccd",555,128
50,"jccd",NULL,128
50,"jccd",555,13
50,"jccd",NULL,13
50,"jccd",695,1096
50,"jccd",668,1096
50,"jccd",309,298
50,"jccd",NULL,298
50,"jccd",87,298
50,"jccd",534,298
50,"jccd",22,298
50,"jccd",888,274
50,"jccd",NULL,274
50,"jccd",521,274
50,"jccd",839,274
50,"jccd",940,274
50,"jccd",96,274
50,"jccd",97,274
50,"jccd",671,781
50,"jccd",217,781
50,"jccd",240,514
50,"jccd",478,514
50,"jccd",NULL,514
50,"jccd",360,230
50,"jccd",NULL,230
50,"jccd",716,230
50,"jccd",1511,160
50,"jccd",NULL,160
50,"jccd",360,287
50,"jccd",NULL,287
50,"jccd",1008,287
50,"jccd",242,101
50,"jccd",914,101
50,"jccd",NULL,101
50,"jccd",0,101
50,"jccd",553,156
50,"jccd",NULL,156
50,"jccd",431,156
50,"jccd",168,156
50,"jccd",554,385
50,"jccd",NULL,385
50,"jccd",1193,133
50,"jccd",NULL,133
50,"jccd",1279,133
50,"jccd",460,396
50,"jccd",92,396
50,"jccd",504,396
50,"jccd",NULL,396
50,"jccd",985,437
50,"jccd",NULL,437
50,"jccd",2763,437
50,"jccd",528,437
50,"jccd",137,437
50,"jccd",1005,274
50,"jccd",2084,274
50,"jccd",354,122
50,"jccd",NULL,122
50,"jccd",556,122
50,"jccd",1221,122
50,"jccd",810,20
50,"jccd",NULL,20
50,"jccd",648,20
50,"jccd",1133,20
50,"jccd",1059,1096
50,"jccd",571,1096
50,"jccd",0,1096
50,"jccd",5877,1096
50,"jccd",1175,153
50,"jccd",NULL,153
50,"jccd",335,153
50,"jccd",0,153
50,"jccd",645,397
50,"jccd",NULL,397
50,"jccd",197,397
50,"jccd",164,397
50,"jccd",167,397
50,"jccd",432,17
50,"jccd",NULL,17
50,"jccd",74,117
50,"jccd",NULL,117
50,"jccd",0,117
50,"jccd",315616,219
50,"jccd",NULL,219
50,"jccd",1127,138
50,"jccd",290,138
50,"jccd",NULL,138
50,"jccd",503,605
50,"jccd",NULL,605
50,"jccd",1030,605
50,"jccd",505,605
50,"jccd",0,605
50,"jccd",935,605
50,"jccd",497,605
50,"jccd",234,605
50,"jccd",1588,350
50,"jccd",NULL,350
50,"jccd",499,350
50,"jccd",892,313
50,"jccd",NULL,313
50,"jccd",0,313
50,"jccd",1009,196
50,"jccd",845,196
50,"jccd",NULL,196
50,"jccd",0,196
50,"jccd",261,196
50,"jccd",838,196
50,"jccd",313,219
50,"jccd",0,219
50,"jccd",1271,431
50,"jccd",NULL,431
50,"jccd",1517,431
50,"jccd",386,330
50,"jccd",787,330
50,"jccd",NULL,330
50,"jccd",0,330
50,"jccd",649,304
50,"jccd",NULL,304
50,"jccd",499,304
50,"jccd",1007,304
50,"jccd",403,304
50,"jccd",695,478
50,"jccd",NULL,478
50,"jccd",262,478
50,"jccd",484,478
50,"jccd",3507,93
50,"jccd",NULL,93
50,"jccd",146,452
50,"jccd",NULL,452
50,"jccd",1463,452
50,"jccd",338,452
50,"jccd",237,452
50,"jccd",741,452
50,"jccd",599,2749
50,"jccd",405,2749
50,"jccd",243,2749
50,"jccd",599,195
50,"jccd",524,195
50,"jccd",NULL,195
50,"jccd",410,195
50,"jccd",0,195
50,"jccd",1033,195
50,"jccd",410,56
50,"jccd",NULL,56
50,"jccd",980,502
50,"jccd",NULL,502
50,"jccd",503,502
50,"jccd",722,502
50,"jccd",914,502
50,"jccd",595,502
50,"jccd",1630,20
50,"jccd",842,249
50,"jccd",646,1096
50,"jccd",690,1096
50,"jccd",772,1096
50,"jccd",750,142
50,"jccd",NULL,142
50,"jccd",748,338
50,"jccd",NULL,338
50,"jccd",1005,338
50,"jccd",674,338
50,"jccd",0,338
50,"jccd",264,338
50,"jccd",697,395
50,"jccd",NULL,395
50,"jccd",101,395
50,"jccd",750,89
50,"jccd",477,89
50,"jccd",NULL,89
50,"jccd",765,89
50,"jccd",750,107
50,"jccd",NULL,107
50,"jccd",2495,366
50,"jccd",NULL,366
50,"jccd",2514,126
50,"jccd",1225,126
50,"jccd",3164,126
50,"jccd",502,531
50,"jccd",600,99
50,"jccd",NULL,99
50,"jccd",1007,132
50,"jccd",0,132
50,"jccd",715,132
50,"jccd",600,124
50,"jccd",351,124
50,"jccd",NULL,124
50,"jccd",1173,378
50,"jccd",22,378
50,"jccd",NULL,378
50,"jccd",481,378
50,"jccd",336,378
50,"jccd",599,378
50,"jccd",0,378
50,"jccd",630,378
50,"jccd",288,77
50,"jccd",NULL,77
50,"jccd",1343,77
50,"jccd",600,32
50,"jccd",NULL,32
50,"jccd",0,32
50,"jccd",1608,258
50,"jccd",NULL,258
50,"jccd",797,263
50,"jccd",NULL,263
50,"jccd",432,263
50,"jccd",1224,332
50,"jccd",NULL,332
50,"jccd",456,232
50,"jccd",912,232
50,"jccd",NULL,232
50,"jccd",406,232
50,"jccd",312,708
50,"jccd",NULL,708
50,"jccd",168,708
50,"jccd",311,708
50,"jccd",750,194
50,"jccd",479,194
50,"jccd",750,147
50,"jccd",NULL,147
50,"jccd",430,147
50,"jccd",1514,147
50,"jccd",625,173
50,"jccd",NULL,173
50,"jccd",713,173
50,"jccd",672,461
50,"jccd",646,461
50,"jccd",NULL,461
50,"jccd",672,478
50,"jccd",291,216
50,"jccd",NULL,216
